GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1510118054           SALSA BLANCA C/QUESO 18 X 54 G                                         MONTE CUDINE                                                  7730177002677     18 N     20150520T1102  A      
7730962840019 1510218054           SALSA BLANCA C/CEBOLLA Y PANCETA                                       MONTE CUDINE                                                  7730177003056     18 N     20150520T1102  A      
7730962840019 1520312200           PASTA C/SALSA DE QUESOS 12 X 200 G                                     MONTE CUDINE                                                  7730177003728     12 N     20150520T1102  A      
7730962840019 1520412200           PASTA C/SALSA BOLOGNESA 12 X 200 G                                     MONTE CUDINE                                                  7730177003742     12 N     20150520T1102  A      
7730962840019 1520512200           PASTA C/SALSA ALFREDO 12 X 200 G                                       MONTE CUDINE                                                  7730177003735     12 N     20150520T1102  A      
7730962840019 1520612200           PASTA C/SALSA VERDEO 12X200G                                           MONTE CUDINE                                                  7730177004282     12 N     20150520T1102  A      
7730962840019 1530115070           (N)SOPA CREMA ARVEJAS C/JAMON 15X70G                                   MONTE CUDINE                                                  7730177004220     15 N     20150520T1102  A      
7730962840019 1530315073           (N) SOPA CREMA ESPARRAGOS 15X73G                                       MONTE CUDINE                                                  7730177004114     15 N     20150520T1102  A      
7730962840019 1530415072           SOPA CREMA DE CHOCLO 15 X 72 G                                         MONTE CUDINE                                                  7730177002462     15 N     20150520T1102  A      
7730962840019 1530515072           (N) SOPA CREMA DE POLLO 15X72G                                         MONTE CUDINE                                                  7730177004138     15 N     20150520T1102  A      
7730962840019 1540115069           SOPA CASERA VERD C/FID 15X69G                                          MONTE CUDINE                                                  7730177004145     15 N     20150520T1102  A      
7730962840019 1540212060           SOPA DE VERDURAS C/ARROZ 12 X 60 G                                     MONTE CUDINE                                                  7730177002707     12 N     20150520T1102  A      
7730962840019 1540215060           SOPA CASER VERD C/ARROZ 15X60G                                         MONTE CUDINE                                                  7730177002707     15 N     20150520T1102  A      
7730962840019 1540512074           (N) SOPA DE CARNE C/FIDEOS 12X74G                                      MONTE CUDINE                                                  7730177004244     12 N     20150520T1102  A      
7730962840019 1551315048           SOPA CREMA ESPARRAGOS BAJA EN SODIO 15 X 48 G                          MONTE CUDINE                                                  7730177004152     15 N     20150520T1102  A      
7730962840019 1551715042           (N)SOPA CREMA DE PUERROS BAJA EN SODIO 15X42                           MONTE CUDINE                                                  7730177004169     15 N     20150520T1102  A      
7730962840019 1560112417           SOPA INST. DE ARVEJAS 12 X 4 X17 G                                     MONTE CUDINE                                                  7730177002561     12 N     20150520T1102  A      
7730962840019 1560124016           (N) SOPA INST. ARVEJAS 24 X 16,5G                                      MONTE CUDINE                                                  7730177004367     24 N     20150520T1102  A      
7730962840019 1560312415           SOPA INST. DE ESPARRAGOS 12 X 4 X 15 G                                 MONTE CUDINE                                                  7730177002554     12 N     20150520T1102  A      
7730962840019 1560324015           SOPA INST. ESPARRAGOS 24 X 15 G                                        MONTE CUDINE                                                  7730177002608     24 N     20150520T1102  A      
7730962840019 1560412414           (N)SOPA INST. CHOCLO 12X4X14.5                                         MONTE CUDINE                                                  7730177004053     12 N     20150520T1102  A      
7730962840019 1560424014           SOPA INST. CHOCLO 24 X 14,5 G                                          MONTE CUDINE                                                  7730177004084     24 N     20150520T1102  A      
7730962840019 1560602416           (N) SOPA INST. VEGETALES 24 X 16,5 G                                   MONTE CUDINE                                                  7730177004077     24 N     20150520T1102  A      
7730962840019 1560612416           (N)SOPA INST. VEGETALES 12 X 4 X 16,5G                                 MONTE CUDINE                                                  7730177004046     12 N     20150520T1102  A      
7730962840019 1560612417           SOPA INST. DE VEGETALES 12 X 4 X 17 G                                  MONTE CUDINE                                                  7730177002578     12 N     20150520T1102  A      
